Challenge,DesiredValue,Points,Score,Notes,Function,Check,ReturnValue
Account Lockout Policy: Account lockout threshold,5,1,,,Get-PassowrdPolicyLockoutThreshold,Check-Equal,
Password Policy: Enforce password history,5,1,,,Get-PassowrdPolicyHistory,Check-Equal,
Password Policy: Maximum age,"1,30",1,,,Get-PasswordPolicyMaximumAge,Check-Between,
Password Policy: Minimum age,1,1,,,Get-PasswordPolicyMinimumAge,Check-Equal,
Password Policy: Password length,"8,14",1,,,Get-PasswordPolicyPasswordLength,Check-Between,
Password Policy: Password complexity enabled,1,1,,,Get-PasswordPolicyComplexityEnabled,Check-Equal,
Password Policy: Disable reversible encryption,0,1,,,Get-PasswordPolicyClearTextPassword,Check-Equal,
Audit Polcy: Audit Logon Events Success,1,1,,,Get-AuditPolicyAuditLogonEventsSuccess,Check-Equal,
Audit Polcy: Audit Logon Events Failure,1,1,,,Get-AuditPolicyAuditLogonEventsFailure,Check-Equal,
Security Options: Machine inactivity limit,120,1,,,Get-MachineInteractiveTimeout,Check-Equal,
UAC: Prompt for elevation on the secure desktop,0,1,,,Get-UACElevateWitoutSecureDesktop,Check-Equal,
Users and Groups: Rename the Local Administrator,Administrator,1,,,(Get-LocalAdministrator).Name,Check-NotEqual,
Users and Groups: Disable the Local Administrator,0,1,,,(Get-LocalAdministrator).Enabled,Check-Equal,
Users and Groups: Disable the BadAdmin account,0,1,,,(Get-LocalUser -Name BadAdmin -ErrorAction SilentlyContinue).Enabled,Check-Equal,
Users and Groups: Remove BadAdmin from Administrators,0,1,,,(Verify-UserInGroup -Name Administrators -User (Get-LocalUser -Name BadAdmin -ErrorAction SilentlyContinue)),Check-Equal,
Users and Groups: Create user CampAdmin,CampAdmin,1,,,Get-User -Name CampAdmin,Check-Equal,
Users and Groups: Add CampAdmin to group Administrators,1,1,,,(Verify-UserInGroup -Name Administrators -User (Get-LocalUser -Name CampAdmin -ErrorAction SilentlyContinue)),Check-Equal,
Users and Groups: Create user Student1,Student1,1,,,Get-User -Name Student1,Check-Equal,
Users and Groups: Create user Student2,Student2,1,,,Get-User -Name Student2,Check-Equal,
,,,,,,,
Users and Groups: Creeate group Learning,Learning,1,,,Get-Group -Name Learning -ErrorAction SilentlyContinue,Check-Equal,
Users and Groups: Add Student1 to group Learning,1,1,,,(Verify-UserInGroup -Name Learning -User (Get-LocalUser -Name Student1 -ErrorAction SilentlyContinue)),Check-Equal,
Users and Groups: Add Student2 to group Learning,1,1,,,(Verify-UserInGroup -Name Learning -User (Get-LocalUser -Name Student2 -ErrorAction SilentlyContinue)),Check-Equal,
Firewall: Public rules are enabled,1,1,,,Get-FirewallPublicRulesEnabled,Check-Equal,
Firewall: Private rules are enabled,1,1,,,Get-FirewallPrivateRulesEnabled,Check-Equal,
